"Suburb","Address","Rooms","Type","Method","Seller","Date","Distance","Postcode","Bedroom","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Latitude","Longtitude","Regionname","Propertycount","ParkingArea","Price"
"Bentleigh","22 Hobart St",2,"House","S","Woodards","3/9/16",13,3204,2,1,2,599,160.2800156,1970,"Glen Eira City Council",-37.925,145.046,"Southern",6795,"Parkade",1275000
"Bentleigh","1/236 Patterson Rd",3,"Unit","S","hockingstuart","3/9/16",13,3204,3,1,2,348,121,1950,"Glen Eira City Council",-37.9273,145.0479,"Southern",6795,"Carport",875000
"Bentleigh","2/531 South Rd",3,"Townhouse","PI","Ray","3/9/16",13,3204,3,2,2,362,160.2800156,1997,"Glen Eira City Council",-37.9336,145.043,"Southern",6795,"Attached Garage",895000
"Bentleigh East","18 Mervin St",2,"House","S","hockingstuart","3/9/16",13.9,3165,2,1,2,768,160.2800156,1970,"Glen Eira City Council",-37.9305,145.0547,"Southern",10969,"Indoor",1410000
"Bentleigh East","1/69 Purtell St",3,"Townhouse","PI","hockingstuart","3/9/16",13.9,3165,3,1,2,287,160.2800156,1970,"Glen Eira City Council",-37.9261,145.0566,"Southern",10969,"Outdoor Stall",760000
"Bentleigh East","30 Veronica St",2,"House","S","Buxton","3/9/16",13.9,3165,2,2,1,176,125,2008,"Glen Eira City Council",-37.9237,145.0763,"Southern",10969,"Carport",825000
"Box Hill","32 Margaret St",4,"House","S","hockingstuart","3/9/16",13.1,3128,4,2,2,697,255,1940,"Whitehorse City Council",-37.8151,145.135,"Eastern",4605,"Detached Garage",1620000
"Braybrook","132 Duke St",3,"House","S","Barry","3/9/16",10.8,3019,3,2,4,700,160.2800156,1970,"Maribyrnong City Council",-37.7824,144.8469,"Western",3589,"Indoor",870000
"Braybrook","25 Lily St",2,"House","S","Barry","3/9/16",10.8,3019,2,1,1,566,75,1950,"Maribyrnong City Council",-37.7839,144.8524,"Western",3589,"Carport",645000
"Brighton","802 Hampton St",3,"House","VB","Buxton","3/9/16",11.2,3186,3,2,2,663,160.2800156,1940,"Bayside City Council",-37.9159,145.0068,"Southern",10579,"Detached Garage",1550000
"Brighton","18 Rooding St",3,"House","S","Buxton","3/9/16",11.2,3186,3,1,2,366,156,1920,"Bayside City Council",-37.9038,145.0001,"Southern",10579,"Indoor",1635000
"Brighton East","7 Balfour St",4,"House","S","hockingstuart","3/9/16",10.7,3187,4,2,2,682,240,1960,"Bayside City Council",-37.9205,145.0122,"Southern",6938,"Carport",1940000
"Brighton East","4 Marriage Rd",4,"House","S","Nick","3/9/16",10.7,3187,4,2,2,617,268,1940,"Bayside City Council",-37.9187,145.007,"Southern",6938,"Attached Garage",1850000
"Brighton East","244a South Rd",3,"House","SP","Marshall","3/9/16",10.7,3187,3,1,1,329,117,1930,"Bayside City Council",-37.9317,145.0218,"Southern",6938,"Detached Garage",930000
"Brunswick","8/55 De Carle St",2,"Unit","S","Brad","3/9/16",5.2,3056,2,1,2,557,160.2800156,1970,"Moreland City Council",-37.7593,144.9652,"Northern",11918,"Parkade",428000
"Brunswick","234 Victoria St",2,"House","S","Nelson","3/9/16",5.2,3056,2,1,0,225,108,1905,"Moreland City Council",-37.7676,144.9665,"Northern",11918,"Underground",1026000
"Brunswick West","8/7 Passfield St",2,"Unit","S","Peter","3/9/16",5.9,3055,2,1,1,557,69,1960,"Moreland City Council",-37.768,144.9408,"Northern",7082,"Outdoor Stall",521500
"Bulleen","19a Elizabeth St",3,"Unit","S","Jellis","3/9/16",11.8,3105,3,1,2,385,140,2000,"Manningham City Council",-37.7599,145.0849,"Eastern",4480,"Parking Pad",851000
"Bulleen","42 Robert St",4,"House","S","Jellis","3/9/16",11.8,3105,4,1,2,717,180,1960,"Manningham City Council",-37.7608,145.0862,"Eastern",4480,"Carport",1300000
"Bulleen","92 Swanston St",4,"House","PI","Barry","3/9/16",11.8,3105,3,2,2,562,160.2800156,1970,"Manningham City Council",-37.7628,145.0994,"Eastern",4480,"Detached Garage",1110000
"Bulleen","25 William St",4,"House","S","Jellis","3/9/16",11.8,3105,4,2,2,556,214,1957,"Manningham City Council",-37.7657,145.0957,"Eastern",4480,"Attached Garage",1235000
"Burwood","15 Loudon Rd",5,"House","S","Jellis","3/9/16",11.7,3125,4,3,2,661,253,1940,"Monash City Council",-37.848,145.098,"Southern",5678,"Indoor",1590000
"Camberwell","28 Brinsley Rd",4,"House","S","Jellis","3/9/16",7.8,3124,4,2,1,652,189,1890,"Boroondara City Council",-37.8286,145.0686,"Southern",8920,"Parkade",2650000
"Camberwell","2/1 Glen Iris Rd",3,"Townhouse","S","Marshall","3/9/16",7.8,3124,3,1,2,389,160.2800156,1970,"Boroondara City Council",-37.8435,145.0695,"Southern",8920,"Underground",1615000
"Camberwell","1288 Toorak Rd",4,"House","SA","RT","3/9/16",7.8,3124,4,3,2,934,160.2800156,1970,"Boroondara City Council",-37.8496,145.0869,"Southern",8920,"Parking Pad",3225000
"Canterbury","18 Irilbarra Rd",4,"House","S","Marshall","3/9/16",9,3126,4,2,2,687,215,1935,"Boroondara City Council",-37.8186,145.0706,"Southern",3265,"Carport",2950000
"Carlton North","527 Nicholson St",3,"House","VB","Nelson","3/9/16",3.2,3054,3,1,1,314,160.2800156,1900,"Melbourne City Council",-37.7871,144.9766,"Northern",3106,"Attached Garage",1330000
"Carnegie","1/60 Moonya Rd",3,"Unit","S","Ray","3/9/16",11.4,3163,3,1,2,557,96,1989,"Glen Eira City Council",-37.897,145.0623,"Southern",7822,"Indoor",820000
"Carnegie","1/70 Truganini Rd",2,"Townhouse","S","Gary","3/9/16",11.4,3163,2,2,1,133,104,2009,"Glen Eira City Council",-37.8911,145.0539,"Southern",7822,"Parkade",795000
"Caulfield","6/5 Freeman St",2,"Unit","S","Gary","3/9/16",8.9,3162,2,1,1,557,100,1960,"Glen Eira City Council",-37.8865,145.0302,"Southern",2379,"Underground",722500
"Caulfield North","14 Arthur St",3,"House","S","McGrath","3/9/16",8.1,3161,3,1,0,513,160.2800156,1970,"Glen Eira City Council",-37.8678,145.027,"Southern",6923,"Carport",1365000
"Caulfield North","452 Dandenong Rd",3,"House","S","Marshall","3/9/16",8.1,3161,3,2,2,692,313,1955,"Glen Eira City Council",-37.8629,145.019,"Southern",6923,"Detached Garage",1750000
"Caulfield South","26 Flowers St",3,"House","S","hockingstuart","3/9/16",9.3,3162,3,2,2,357,144,1935,"Glen Eira City Council",-37.8896,145.0307,"Southern",5051,"Indoor",1577500
"Chadstone","3/10 Euroka St",3,"Townhouse","S","Buxton","3/9/16",13.6,3148,3,2,1,182,160.2800156,1970,"Monash City Council",-37.8786,145.1015,"Southern",3582,"Detached Garage",752000
"Clifton Hill","60a Hodgkinson St",3,"House","S","Nelson","3/9/16",3.4,3068,3,2,0,187,160.2800156,1970,"Yarra City Council",-37.7902,144.9894,"Northern",2954,"Parkade",1270000
"Coburg","29 Molesworth St",2,"House","SP","Brad","3/9/16",7.8,3058,2,1,1,371,93,1930,"Darebin City Council",-37.735,144.9589,"Northern",11204,"Outdoor Stall",850000
"Coburg","10 Shackell St",3,"House","S","Nelson","3/9/16",7.8,3058,2,1,1,286,110,1890,"Darebin City Council",-37.7427,144.952,"Northern",11204,"Attached Garage",784000
"Collingwood","69 Hotham St",2,"Townhouse","S","Jellis","3/9/16",1.6,3066,2,1,1,115,160.2800156,1970,"Yarra City Council",-37.7968,144.9891,"Northern",4553,"Parkade",750000
"Collingwood","130 Keele St",2,"House","S","LITTLE","3/9/16",1.6,3066,2,1,1,178,70,1900,"Yarra City Council",-37.7974,144.9915,"Northern",4553,"Carport",890000
"Collingwood","10/79 Oxford St",2,"Unit","S","Jellis","3/9/16",1.6,3066,2,1,1,557,129,1900,"Yarra City Council",-37.8042,144.9845,"Northern",4553,"Detached Garage",1260000
"Collingwood","2/79 Oxford St",2,"Unit","S","Nelson","3/9/16",1.6,3066,2,1,1,2886,122,1830,"Yarra City Council",-37.8042,144.9845,"Northern",4553,"Attached Garage",855000
"Doncaster","329 George St",4,"House","S","Barry","3/9/16",13.9,3108,4,4,2,1157,160.2800156,1970,"Manningham City Council",-37.7779,145.127,"Eastern",9028,"Indoor",1924500
"Doncaster","2/20 Wetherby Rd",2,"Unit","S","Barry","3/9/16",13.9,3108,2,1,1,65,160.2800156,1975,"Manningham City Council",-37.7887,145.1438,"Eastern",9028,"Carport",492500
"Elsternwick","30 Ross St",2,"House","VB","Gary","3/9/16",8.5,3185,2,1,2,239,110,1940,"Glen Eira City Council",-37.8845,144.999,"Southern",4898,"Carport",900000
"Elwood","8/44 Southey St",1,"Unit","S","Chisholm","3/9/16",7.7,3184,1,1,1,557,51,1930,"Port Phillip City Council",-37.8761,144.9871,"Southern",8989,"Attached Garage",520000
"Elwood","1/10 Wilton Gr",3,"Townhouse","S","hockingstuart","3/9/16",7.7,3184,3,2,2,1170,160.2800156,1970,"Port Phillip City Council",-37.8831,144.9801,"Southern",8989,"Indoor",1350000
"Essendon","6 Buckley St",3,"House","S","Jellis","3/9/16",8,3040,3,2,2,684,147,1950,"Moonee Valley City Council",-37.7585,144.9317,"Western",9264,"Parkade",1425000
"Essendon","1/28 Gilbertson St",2,"Unit","S","Barry","3/9/16",8,3040,2,1,1,263,113,1980,"Moonee Valley City Council",-37.7418,144.8977,"Western",9264,"Underground",660000
"Essendon","3/85 Tennyson St",2,"Unit","VB","Nelson","3/9/16",8,3040,2,1,1,557,83,1980,"Moonee Valley City Council",-37.7575,144.9298,"Western",9264,"Outdoor Stall",550000
"Essendon North","2/17 Bulla Rd",2,"Unit","S","Barry","3/9/16",9.4,3041,2,1,1,557,56,1975,"Moonee Valley City Council",-37.7428,144.9086,"Western",1308,"Carport",396000
"Fairfield","150 Gillies St",3,"House","VB","Jellis","3/9/16",5.8,3078,3,2,0,327,144,1910,"Darebin City Council",-37.7723,145.0179,"Northern",2970,"Detached Garage",1250000
"Fitzroy","111 Cecil St",2,"House","S","Nelson","3/9/16",1.6,3065,2,1,0,128,160.2800156,1970,"Yarra City Council",-37.7941,144.9802,"Northern",5825,"Indoor",1000000
"Fitzroy","3/18 Hanover St",3,"House","S","Nelson","3/9/16",1.6,3065,3,2,2,557,137,2004,"Yarra City Council",-37.8029,144.975,"Northern",5825,"Carport",1252000
"Fitzroy North","233/4 Bik La",2,"Unit","SP","Woodards","3/9/16",3.5,3068,2,2,1,4332,85,2010,"Moreland City Council",-37.7846,144.9785,"Northern",6244,"Detached Garage",700000
"Fitzroy North","470 Brunswick St",2,"House","S","Woodards","3/9/16",3.5,3068,2,1,0,104,70,1880,"Moreland City Council",-37.7927,144.9796,"Northern",6244,"Attached Garage",860000
"Fitzroy North","50 Freeman St",2,"House","S","Nelson","3/9/16",3.5,3068,2,1,0,107,64,1910,"Moreland City Council",-37.7898,144.9794,"Northern",6244,"Indoor",870000
"Fitzroy North","76 Newry St",2,"House","S","Nelson","3/9/16",3.5,3068,3,1,0,152,160.2800156,1970,"Moreland City Council",-37.791,144.9809,"Northern",6244,"Parkade",1116000
"Fitzroy North","2 Pilkington St",4,"House","VB","Nelson","3/9/16",3.5,3068,4,2,1,266,175,1950,"Moreland City Council",-37.7797,144.9861,"Northern",6244,"Carport",1450000
"Fitzroy North","186 Queens Pde",2,"Townhouse","S","Nelson","3/9/16",3.5,3068,2,3,0,2778,3558,1970,"Moreland City Council",-37.7903,144.9859,"Northern",6244,"Detached Garage",930000
"Flemington","96 Bryant St",2,"House","S","Nelson","3/9/16",4.4,3031,2,1,1,168,160.2800156,1970,"Melbourne City Council",-37.7835,144.9339,"Northern",3593,"Attached Garage",865500
"Footscray","4/33 Ballarat Rd",3,"Townhouse","S","Nelson","3/9/16",6.4,3011,3,1,1,259,160.2800156,1970,"Maribyrnong City Council",-37.7955,144.9063,"Western",7570,"Carport",585000
"Footscray","202/51 Gordon St",1,"Unit","PI","Burnham","3/9/16",6.4,3011,1,1,0,557,160.2800156,2007,"Maribyrnong City Council",-37.7911,144.89,"Western",7570,"Detached Garage",85000
"Glen Iris","6 Beatrice St",3,"House","S","hockingstuart","3/9/16",9.2,3146,3,2,3,680,170,1935,"Boroondara City Council",-37.854,145.0832,"Southern",10412,"Attached Garage",1735000
"Glen Iris","57 Brandon St",2,"House","S","Jellis","3/9/16",9.2,3146,3,1,2,653,160.2800156,1970,"Boroondara City Council",-37.8573,145.077,"Southern",10412,"Parkade",1699000
"Glen Iris","11 Vincent St",4,"House","VB","Kay","3/9/16",9.2,3146,4,3,2,856,265,1920,"Boroondara City Council",-37.8628,145.0436,"Southern",10412,"Outdoor Stall",3400000
"Glen Iris","2 Vincent St",5,"House","PI","Abercromby's","3/9/16",9.2,3146,4,3,2,919,353,1925,"Boroondara City Council",-37.8637,145.0438,"Southern",10412,"Parking Pad",3730000
"Glenroy","89 John St",3,"House","S","Ray","3/9/16",13,3046,3,1,2,696,118,1960,"Moreland City Council",-37.6972,144.9431,"Northern",8870,"Detached Garage",610000
"Gowanbrae","1 Gowanbrae Dr",3,"House","S","Nelson","3/9/16",13.6,3043,3,2,2,608,138,2001,"Moreland City Council",-37.709,144.8925,"Western",1071,"Outdoor Stall",631000
"Gowanbrae","31 Seggan Cir",3,"Townhouse","S","Nelson","3/9/16",13.6,3043,3,2,1,149,19,2005,"Moreland City Council",-37.7068,144.8963,"Western",1071,"Parking Pad",532000
"Hadfield","20 Bedford St",3,"House","PI","hockingstuart","3/9/16",12.1,3046,3,1,2,597,116,1960,"Moreland City Council",-37.711,144.9478,"Northern",2606,"Carport",605000
"Hadfield","29 Sutherland St",3,"House","SP","Brad","3/9/16",12.1,3046,3,1,2,724,103,1970,"Moreland City Council",-37.7076,144.9481,"Northern",2606,"Attached Garage",685500
"Hampton","1/30 Grenville St",2,"Unit","S","hockingstuart","3/9/16",13.7,3188,2,1,1,228,87,1975,"Bayside City Council",-37.9355,145.0008,"Southern",5454,"Indoor",895000
"Hampton","6/334 Hampton St",2,"Unit","S","Ray","3/9/16",13.7,3188,2,1,1,557,74,1975,"Bayside City Council",-37.9419,145.0019,"Southern",5454,"Parkade",587000
"Hampton","38 Myrtle Rd",4,"House","S","Nick","3/9/16",13.7,3188,3,3,2,701,320,2015,"Bayside City Council",-37.9419,145.0152,"Southern",5454,"Underground",2800000
"Hampton","3/31 Thomas St",2,"Unit","S","Buxton","3/9/16",13.7,3188,2,1,1,832,160.2800156,1970,"Bayside City Council",-37.9387,145.0063,"Southern",5454,"Carport",720000
"Hampton","36 Thomas St",4,"House","S","hockingstuart","3/9/16",13.7,3188,4,3,2,928,300,1904,"Bayside City Council",-37.9389,145.0062,"Southern",5454,"Detached Garage",3250000
"Hawthorn","6a Scott St",4,"House","PI","Jellis","3/9/16",4.6,3122,4,2,2,317,210,2005,"Boroondara City Council",-37.8344,145.0422,"Southern",11308,"Carport",1650000
"Heidelberg Heights","97 Edwin St",2,"House","SP","Fletchers","3/9/16",10.5,3081,2,1,2,589,120,1930,"Banyule City Council",-37.7501,145.0505,"Eastern",2947,"Detached Garage",815000
"Heidelberg West","3a Katoomba Ct",5,"House","S","Nelson","3/9/16",9.4,3081,3,2,2,415,160.2800156,1970,"Banyule City Council",-37.7354,145.0381,"Eastern",2674,"Indoor",765000
"Heidelberg West","23 Redwood St",3,"House","S","Haughton","3/9/16",9.4,3081,2,1,2,624,86,1965,"Banyule City Council",-37.7456,145.0397,"Eastern",2674,"Parkade",691000
"Hughesdale","18 Paget St",2,"House","S","Woodards","3/9/16",13,3166,2,1,1,732,97,1950,"Monash City Council",-37.8931,145.0791,"Southern",3145,"Outdoor Stall",1550000
"Hughesdale","1/13 Swindon Rd",2,"Unit","S","Ray","3/9/16",13,3166,2,1,1,557,76,1970,"Monash City Council",-37.8967,145.0858,"Southern",3145,"Carport",516000
"Ivanhoe","9/88 Marshall St",2,"Unit","VB","Miles","3/9/16",7.9,3079,2,1,1,557,160.2800156,1970,"Banyule City Council",-37.77,145.0472,"Eastern",5549,"Detached Garage",480000
"Keilor East","16 Border Dr",3,"House","S","Nelson","3/9/16",12.8,3033,3,2,2,683,200,1995,"Brimbank City Council",-37.7402,144.8591,"Western",5629,"Indoor",703000
"Keilor East","121 Sterling Dr",3,"House","SP","Barry","3/9/16",12.8,3033,3,1,1,538,104,1970,"Brimbank City Council",-37.7441,144.8503,"Western",5629,"Carport",650000
"Kensington","4 Coopers La",3,"House","S","Nelson","3/9/16",4.2,3031,2,1,1,258,64,1970,"Melbourne City Council",-37.7906,144.924,"Northern",5263,"Detached Garage",785000
"Kensington","65 Gatehouse Dr",3,"House","S","Nelson","3/9/16",4.2,3031,3,1,1,166,138,2000,"Melbourne City Council",-37.7929,144.9197,"Northern",5263,"Attached Garage",852000
"Kensington","35 Henry St",3,"House","S","Rendina","3/9/16",4.2,3031,3,1,1,188,106,1910,"Melbourne City Council",-37.7953,144.9275,"Northern",5263,"Indoor",1037000
"Kew","13 Annadale St",3,"House","S","Jellis","3/9/16",5.6,3101,3,1,2,396,160.2800156,1990,"Boroondara City Council",-37.8102,145.0451,"Southern",10331,"Parkade",1635000
"Kew","51 Rowland St",2,"House","S","Jellis","3/9/16",5.6,3101,2,2,1,697,160.2800156,1970,"Boroondara City Council",-37.812,145.0547,"Southern",10331,"Detached Garage",4800000
"Kew East","43 Oswin St",4,"House","S","Marshall","3/9/16",7.5,3102,3,2,2,712,14,1970,"Boroondara City Council",-37.7936,145.0566,"Southern",2671,"Indoor",2490000
"Kew East","4/34 Strathalbyn St",2,"Unit","S","Nelson","3/9/16",7.5,3102,2,1,1,557,160.2800156,1970,"Boroondara City Council",-37.7971,145.0514,"Southern",2671,"Parkade",620000
"Maidstone","12 Bosquet St",3,"House","S","Sweeney","3/9/16",9.2,3012,3,1,3,564,160.2800156,1970,"Maribyrnong City Council",-37.7832,144.8745,"Western",3873,"Outdoor Stall",670000
"Maidstone","3 Crefden St",3,"Townhouse","S","Jas","3/9/16",9.2,3012,3,2,2,165,161,2007,"Maribyrnong City Council",-37.7773,144.8725,"Western",3873,"Carport",615000
"Maidstone","27 Dunedin St",3,"House","S","Burnham","3/9/16",9.2,3012,3,1,1,576,128,1970,"Maribyrnong City Council",-37.7808,144.8678,"Western",3873,"Detached Garage",715000
"Maidstone","32 Ringtail Cct",4,"House","S","Rendina","3/9/16",9.2,3012,4,2,2,308,185,2012,"Maribyrnong City Council",-37.7833,144.8817,"Western",3873,"Indoor",826000
"Malvern East","9 Chanak St",3,"House","S","Marshall","3/9/16",11.2,3145,3,1,1,322,137,1910,"Stonnington City Council",-37.8726,145.0396,"Southern",8801,"Parkade",1490000
"Malvern East","1/13 Goode St",3,"House","S","Marshall","3/9/16",11.2,3145,3,2,1,337,146,1993,"Stonnington City Council",-37.8833,145.0697,"Southern",8801,"Carport",1210000
"Malvern East","44 Thurso St",4,"House","S","J","3/9/16",11.2,3145,3,2,2,644,160.2800156,1970,"Stonnington City Council",-37.8747,145.0836,"Southern",8801,"Detached Garage",1300000
"Malvern East","375 Waverley Rd",4,"House","PI","Thomson","3/9/16",11.2,3145,3,2,4,727,160.2800156,1970,"Stonnington City Council",-37.8779,145.0651,"Southern",8801,"Attached Garage",1675000
"Middle Park","277 Danks St",3,"House","VB","Cayzer","3/9/16",4.1,3206,3,1,1,279,133,1900,"Port Phillip City Council",-37.8499,144.957,"Southern",2019,"Attached Garage",2600000
"Mont Albert","371 Elgar Rd",2,"House","SP","Lindellas","3/9/16",11.8,3127,2,1,1,613,115,1950,"Boroondara City Council",-37.8238,145.1135,"Eastern",2079,"Parkade",1320000
"Mont Albert","17 Rowland St",4,"House","S","Jellis","3/9/16",11.8,3127,4,2,2,1388,160.2800156,1970,"Boroondara City Council",-37.82,145.1118,"Eastern",2079,"Underground",2850000
"Moonee Ponds","504/26 Shuter St",3,"Unit","S","Nelson","3/9/16",6.9,3039,3,2,2,557,120,2000,"Moonee Valley City Council",-37.7672,144.9209,"Western",6232,"Outdoor Stall",670000
"Moorabbin","21 Fiddes St",3,"House","S","Buxton","3/9/16",14.6,3189,3,1,3,834,143,1960,"Kingston City Council",-37.9376,145.0474,"Southern",2555,"Parking Pad",1224000
"Moorabbin","23 Fiddes St",3,"House","S","Buxton","3/9/16",14.6,3189,3,1,3,771,160.2800156,1970,"Kingston City Council",-37.9375,145.0474,"Southern",2555,"Carport",1020000
"Moorabbin","19 Hamer St",3,"House","S","O'Brien","3/9/16",14.6,3189,3,2,2,573,150,1970,"Kingston City Council",-37.9428,145.044,"Southern",2555,"Detached Garage",1000000
"Moorabbin","6/1015 Nepean Hwy",1,"Unit","S","Ray","3/9/16",14.6,3189,1,1,1,106,51,1990,"Kingston City Council",-37.9374,145.0388,"Southern",2555,"Attached Garage",380500
"Newport","23a Farm St",3,"House","SP","Sweeney","3/9/16",8.4,3015,3,2,2,301,195,1970,"Hobsons Bay City Council",-37.842,144.8902,"Western",5498,"Indoor",1025000
"Newport","1/26 Thorpe St",3,"House","S","Village","3/9/16",8.4,3015,2,1,2,281,100,1957,"Hobsons Bay City Council",-37.8457,144.8651,"Western",5498,"Parkade",826000
"Niddrie","28 Coghlan St",3,"Townhouse","S","Barry","3/9/16",11.2,3042,3,3,2,303,236,2013,"Moonee Valley City Council",-37.742,144.8885,"Western",2291,"Underground",830000
"Niddrie","3a Irving St",3,"House","PI","McDonald","3/9/16",11.2,3042,3,2,2,274,160.2800156,1970,"Moonee Valley City Council",-37.7353,144.8907,"Western",2291,"Parking Pad",780000
"North Melbourne","10 Canning St",4,"House","S","Nelson","3/9/16",2.3,3051,4,3,4,310,276,1880,"Melbourne City Council",-37.7958,144.944,"Northern",6821,"Attached Garage",2920000
"North Melbourne","90 Molesworth St",3,"House","S","Nelson","3/9/16",2.3,3051,2,1,0,517,160.2800156,1970,"Melbourne City Council",-37.7967,144.9472,"Northern",6821,"Indoor",1635000
"North Melbourne","208/150 Peel St",1,"Unit","SP","Nelson","3/9/16",2.3,3051,1,1,1,557,160.2800156,1970,"Melbourne City Council",-37.8044,144.9566,"Northern",6821,"Parkade",491000
"Northcote","43 Christmas St",2,"House","S","McGrath","3/9/16",5.5,3070,2,1,1,245,108,1890,"Darebin City Council",-37.7662,145.0096,"Northern",11364,"Underground",1286000
"Northcote","30 Clarke St",3,"House","S","Nelson","3/9/16",5.5,3070,3,1,1,215,125,1920,"Darebin City Council",-37.7759,144.9909,"Northern",11364,"Carport",1200000
"Northcote","57A Derby St",3,"House","SA","Nelson","3/9/16",5.5,3070,3,2,2,286,188,2007,"Darebin City Council",-37.7708,145.0054,"Northern",11364,"Detached Garage",1382500
"Northcote","3/412 High St",2,"Unit","S","McGrath","3/9/16",5.5,3070,2,2,1,557,160.2800156,1970,"Darebin City Council",-37.7679,144.9994,"Northern",11364,"Attached Garage",630000
"Northcote","24 Jessie St",4,"House","VB","Jellis","3/9/16",5.5,3070,4,2,1,464,179,1910,"Darebin City Council",-37.7805,145.004,"Northern",11364,"Indoor",1600000
"Oak Park","14 Marie St",3,"House","S","Nelson","3/9/16",11.5,3046,3,1,3,757,160.2800156,1970,"Moreland City Council",-37.718,144.9174,"Northern",2651,"Carport",892000
